name,psnr,ssim_optional
00139.png,9.296421011720255,
00180.png,9.30415353830925,
00179.png,9.351204331772323,
00178.png,9.392909300091027,
00140.png,9.417115789819327,
00177.png,9.426483631189164,
00041.png,9.443666002967035,
00104.png,9.452281742654982,
00176.png,9.455984866899833,
00175.png,9.484466685822888,
00174.png,9.500879719151541,
00173.png,9.52257027718052,
00141.png,9.548298296977457,
00172.png,9.555791345103337,
00171.png,9.601860394852395,
00042.png,9.642321390749409,
00093.png,9.659753240767643,
00170.png,9.665418706816332,
00094.png,9.665663584363706,
00103.png,9.672784051444062,
00092.png,9.696458248018814,
00142.png,9.698532417394183,
00095.png,9.707248116554375,
00169.png,9.735540124084508,
00096.png,9.794652301568298,
00091.png,9.797255379893244,
00168.png,9.827433841163469,
00043.png,9.869713770524257,
00102.png,9.874067226346952,
00097.png,9.887385169369963,
00143.png,9.896300127429782,
00167.png,9.91097903720081,
00090.png,9.933894234300439,
00166.png,9.983136313668737,
00098.png,10.044073938138823,
00165.png,10.058295238292594,
00101.png,10.064628735408782,
00144.png,10.11386801195205,
00089.png,10.117062327559225,
00044.png,10.11765168061227,
00099.png,10.149952226783796,
00164.png,10.154973168236197,
00100.png,10.170260160677358,
00163.png,10.26283099223486,
00045.png,10.343330363346908,
00145.png,10.344810867001158,
00069.png,10.365490691544359,
00068.png,10.368782604874362,
00162.png,10.37762804306395,
00067.png,10.395573902085921,
00088.png,10.399486469114116,
00070.png,10.402039685844656,
00066.png,10.4276392772829,
00071.png,10.457843054874786,
00065.png,10.470112997065954,
00064.png,10.50910374405818,
00161.png,10.522738029148293,
00063.png,10.558138475526597,
00072.png,10.560005319899076,
00046.png,10.598502393012339,
00146.png,10.599558432419144,
00062.png,10.606522890306962,
00061.png,10.642986748710669,
00160.png,10.659154676035968,
00073.png,10.663269242608443,
00060.png,10.689171536136655,
00087.png,10.6962633188785,
00074.png,10.738344918851105,
00059.png,10.760936883774129,
00159.png,10.764715413683128,
00058.png,10.855656317367014,
00075.png,10.869971630188964,
00147.png,10.874006191303565,
00158.png,10.883283823764245,
00047.png,10.892554883318397,
00086.png,10.984656037507555,
00057.png,10.985026706564312,
00157.png,11.012227349817202,
00076.png,11.0467244998964,
00148.png,11.069732676990405,
00048.png,11.093242998441383,
00056.png,11.101480758230622,
00149.png,11.150797361594456,
00156.png,11.157642448692279,
00055.png,11.228236971074296,
00049.png,11.235488330431487,
00150.png,11.252087152838499,
00155.png,11.254631019923629,
00077.png,11.273424699303234,
00050.png,11.291312544266141,
00054.png,11.334867092396387,
00154.png,11.336436359955954,
00051.png,11.353544314787385,
00151.png,11.353559457654242,
00085.png,11.373281916794284,
00053.png,11.403901827819425,
00153.png,11.406729636856468,
00052.png,11.426536166239472,
00152.png,11.431940221194914,
00078.png,11.54671037079833,
00084.png,11.706137152219895,
00079.png,11.78290528580417,
00083.png,11.925076456285169,
00080.png,11.966643913674517,
00082.png,12.057601854923234,
00081.png,12.083730923831027,
